Magna International Inc.,MG:TSX
Major Drilling Group International Inc.,MDI:TSX
Manitoba Telecom Services Inc.,MBT:TSX
Manulife Financial Corporation,MFC:TSX
Maple Leaf Foods Inc.,MFI:TSX
Martinrea International Inc.,MRE:TSX
Methanex Corporation,MX:TSX
Metro Inc.,MRU:TSX
Mullen Group Ltd.,MTL:TSX
National Bank of Canada,NA:TSX
Nevsun Resources Ltd.,NSU:TSX
New Gold Inc.,NGD:TSX
Newalta Corporation,NAL:TSX
Norbord Inc.,NBD:TSX
Northern Property Real Estate Investment Trust,NPR.UN:TSX
Northland Power Inc.,NPI:TSX
NovaGold Resources Inc.,NG:TSX
NuVista Energy Ltd.,NVA:TSX
ONEX Corporation,OCX:TSX
OceanaGold Corporation,OGC:TSX
Open Text Corporation,OTC:TSX
Osisko Mining Corporation,OSK:TSX
Pacific Rubiales Energy Corp.,PRE:TSX
Pan American Silver Corp.,PAA:TSX
Paramount Resources Ltd.,POU:TSX
Parkland Fuel Corporation,PKI:TSX
Pason Systems Inc.,PSI:TSX
Pembina Pipeline Corporation,PPL:TSX
Pengrowth Energy Corporation,PGF:TSX
Penn West Petroleum Ltd.,PWT:TSX
Peyto Exploration & Development Corp.,PEY:TSX
Potash Corporation of Saskatchewan Inc.,POT:TSX
Power Corporation of Canada,POW:TSX
Power Financial Corporation,PWF:TSX
Precision Drilling Corporation,PD:TSX
Pretium Resources Inc.,PVG:TSX
Progressive Waste Solutions Ltd.,BIN:TSX
Quebecor Inc.,QBR.B:TSX
RONA inc.,RON:TSX
Raging River Exploration Inc.,RRX:TSX
RioCan Real Estate Investment Trust,REI.UN:TSX
Ritchie Bros. Auctioneers Incorporated,RBA:TSX
Rogers Communications Inc.,RCI.B:TSX
Royal Bank of Canada,RY:TSX
Russel Metals Inc.,RUS:TSX
SNC-Lavalin Group Inc.,SNC:TSX
Saputo Inc.,SAP:TSX
Savanna Energy Services Corp.,SVY:TSX
Secure Energy Services Inc.,SES:TSX
Semafo Inc.,SMF:TSX
Shaw Communications Inc.,SJR.B:TSX
ShawCor Ltd.,SCL:TSX
Sherritt International Corporation,S:TSX
Silver Standard Resources Inc.,SSO:TSX
Silver Wheaton Corp.,SLW:TSX
Silvercorp Metals Inc.,SVM:TSX
Stantec Inc.,STN:TSX
Sun Life Financial Inc.,SLF:TSX
Suncor Energy Inc.,SU:TSX
Superior Plus Corp.,SPB:TSX
Surge Energy Inc.,SGY:TSX
TELUS Corporation,T:TSX
TMX Group Limited,X:TSX
Tahoe Resources Inc.,THO:TSX
Talisman Energy Inc.,TLM:TSX
Teck Resources Limited,TCK.B:TSX
The North West Company Inc.,NWC:TSX
Thomson Reuters Corporation,TRI:TSX
Tim Hortons Inc.,THI:TSX
Torex Gold Resources Inc.,TXG:TSX
Toromont Industries Ltd.,TIH:TSX
Toronto-Dominion Bank (The),TD:TSX
Tourmaline Oil Corp.,TOU:TSX
TransAlta Corporation,TA:TSX
TransCanada Corporation,TRP:TSX
TransForce Inc.,TFI:TSX
TransGlobe Energy Corporation,TGL:TSX
Transcontinental Inc.,TCL.A:TSX
Trican Well Service Ltd.,TCW:TSX
Trilogy Energy Corp.,TET:TSX
Trinidad Drilling Ltd.,TDG:TSX
